1186406808749068288,El Mercurio,15:20 - 21 oct. 2019,Cinco rasgos distintivos de una inédita crisis https://digital.elmercurio.com/2019/10/21/C/O23MU162#zoom=page-width …pic.twitter.com/W4w8s5MrRA
1186401777215631360,El Mercurio,15:00 - 21 oct. 2019,"Carta al Director | “Más micro, menos Twitter”,  Pablo Ortúzar https://www.elmercurio.com/blogs/2019/10/21/73403/Mas-micro--menos-Twitter.aspx …pic.twitter.com/N0kL2yVH8t"
1186396742599806977,El Mercurio,14:40 - 21 oct. 2019,La resistencia a los antibióticos se duplicó en los últimos 20 años https://digital.elmercurio.com/2019/10/21/A/O33MJV47#zoom=page-width …pic.twitter.com/Yw3fbIIC14
1186391709330092034,El Mercurio,14:20 - 21 oct. 2019,"Opinión | “Evolución, no revolución”, por Guillermo Larraín https://www.elmercurio.com/blogs/2019/10/21/73401/Evolucion-no-revolucion.aspx …pic.twitter.com/12MWJAXJMQ"
1186386677163446272,El Mercurio,14:00 - 21 oct. 2019,Frente Amplio y PC enfrentan críticas transversales por su posición ante crisis https://digital.elmercurio.com/2019/10/21/C/O33MJV55#zoom=page-width …pic.twitter.com/yjYlqwe5sQ
1186376609948995584,El Mercurio,13:20 - 21 oct. 2019,Rubilar anuncia que no será candidata a gobernadora y UDI analiza situación de sus autoridades https://digital.elmercurio.com/2019/10/21/C/O33MJV55#zoom=page-width …pic.twitter.com/UwFM9ppg1v
1186376609948766208,El Mercurio,13:20 - 21 oct. 2019,"Tribuna | “No nos quejemos”, por Joaquín García-Huidobro https://www.elmercurio.com/blogs/2019/10/21/73400/No-nos-quejemos.aspx …pic.twitter.com/tyLcss1BvO"
1186371576968765440,El Mercurio,13:00 - 21 oct. 2019,Editorial | Violencia irracional contra el Metro https://www.elmercurio.com/blogs/2019/10/21/73404/Violencia-irracional-contra-el-Metro.aspx …pic.twitter.com/zDIPwutxiC
1186366543673937921,El Mercurio,12:40 - 21 oct. 2019,Cómo el poder ha cambiado a Evo Morales https://digital.elmercurio.com/2019/10/21/A/O33MJV3S#zoom=page-width …pic.twitter.com/KWV6ko8pPH
1186361510513143809,El Mercurio,12:20 - 21 oct. 2019,"Carta al Director | “Horas de agitación y esperanza”, por @ESantelicesC https://www.elmercurio.com/blogs/2019/10/21/73408/Horas-de-agitacion--y-esperanza.aspx …pic.twitter.com/WHntskiImT"
1186356481186238466,El Mercurio,12:00 - 21 oct. 2019,"Carlos Mesa, el eterno rival que busca la venganza del 21-F https://digital.elmercurio.com/2019/10/21/A/O33MJV3S#zoom=page-width …pic.twitter.com/i7oSpAgeSq"
1186351444112367616,El Mercurio,11:40 - 21 oct. 2019,"Carta al Director | “Mejoras concretas”, por Sergio Espejo https://www.elmercurio.com/blogs/2019/10/21/73407/Mejoras-concretas.aspx …pic.twitter.com/TFLeGQ6epD"
1186346410930630659,El Mercurio,11:20 - 21 oct. 2019,"Sin el PC ni el Frente Amplio, partidos de ex Concertación realizan propuesta para llegar a acuerdo con el Gobierno https://digital.elmercurio.com/2019/10/21/C/O33MJV54#zoom=page-width …pic.twitter.com/6Ym4uyYhm1"
1186341379036848129,El Mercurio,11:00 - 21 oct. 2019,"Opinión | “Evolución, no revolución”, por Guillermo Larraín https://www.elmercurio.com/blogs/2019/10/21/73401/Evolucion-no-revolucion.aspx …pic.twitter.com/ELnC834Zyw"
1186336344332570624,El Mercurio,10:40 - 21 oct. 2019,"Mineros anuncian paralización, puertos operan “a media máquina” y algunos sectores activan planes de contingencia https://digital.elmercurio.com/2019/10/21/B/O33MJV4B#zoom=page-width …pic.twitter.com/KshzCCrJ0R"
1177734740440489984,laSegunda,17:00 - 27 sept. 2019,"Conversación con Francisca Márquez: ""Me dio pudor porque describí los días del golpe como una niña"". http://ow.ly/jsAf50wtziL pic.twitter.com/JQHH1JIeD2"
1177719649485672450,laSegunda,16:00 - 27 sept. 2019,El hombre que sabía demasiado sobre Trump: ¿Héroe o traidor? http://ow.ly/fjzi50wtBFk pic.twitter.com/YQJBJV61JS
1177704551958372353,laSegunda,15:00 - 27 sept. 2019,El futuro pasaporte promete menor precio y más años de duración. http://ow.ly/vmG150wtBzs pic.twitter.com/NMuV0RaNWS
1177689467802529792,laSegunda,14:00 - 27 sept. 2019,Un PS confuso y huérfano sigue mirando Bachelet. http://ow.ly/o6Av50wtBld pic.twitter.com/1xs9ASkHFN
1177674381364998144,laSegunda,13:00 - 27 sept. 2019,Las sentencias que podrían marcar el destino de Huneeus Jr. http://ow.ly/UX0c50wtzr9 pic.twitter.com/7OTebc1GRd
1177659276959059971,laSegunda,12:00 - 27 sept. 2019,La gran billetera que maneja Salaberry. http://ow.ly/RIWG50wtBbd pic.twitter.com/yQgdMgNVYg
1177644152261091332,laSegunda,11:00 - 27 sept. 2019,Acción de Latam Airlines saltó más de 30% en la bolsa tras anuncio de OPA de Delta. http://ow.ly/5M9a50wtCLw pic.twitter.com/ybggMG8hnp
1177629058022199299,laSegunda,10:00 - 27 sept. 2019,¡PORTADA DE HOY! Revisa todas las noticias y entrevistas en http://www.lasegunda.com pic.twitter.com/nnS2PKSun3
1177372357071126529,laSegunda,17:00 - 26 sept. 2019,"Conversación con Federico Galende, filósofo: ""Chile no tiene prosa, lo opuesto a lo que sucede en Argentina"". http://ow.ly/zri350wstIN pic.twitter.com/L4V7Ewp0IW"
